SensorID,Name,Location
EUI64-D0CF5EFFFE7931D6,Test-Danny,229349
EUI64-90FD9FFFFEA95255,Test-Lukas,229349
EUI64-D0CF5EFFFE792D84,Test-Jasmine,229349
EUI64-0080E1030005D584,,
EUI64-D0CF5EFFFE792D84,,
EUI64-0080E1030004438D,,
EUI64-0080E1030005CA0F,,
EUI64-D0CF5EFFFE59F26C,,
EUI64-D0CF5EFFFE7932C2,,
EUI64-D0CF5EFFFE792D76,,
EUI64-0080E10300053BA3,,
EUI64-90FD9FFFFEA950FF,,
EUI64-D0CF5EFFFE793068,,
EUI64-D0CF5EFFFE79333A,,
EUI64-D0CF5EFFFE7931BA,,
EUI64-D0CF5EFFFE7931B3,,
EUI64-90FD9FFFFEA9510F,,
EUI64-D0CF5EFFFE793144,,
EUI64-D0CF5EFFFE7931DA,,
EUI64-90FD9FFFFEA9527C,,
EUI64-D0CF5EFFFE792D88,,
EUI64-D0CF5EFFFE792F82,,
EUI64-90FD9FFFFEA95289,,
EUI64-D0CF5EFFFE793380,,
EUI64-D0CF5EFFFE59F28A,,
EUI64-90FD9FFFFEA9528F,,
EUI64-D0CF5EFFFE79310D,,
EUI64-90FD9FFFFEA94E89,,
EUI64-D0CF5EFFFE7931D9,,
EUI64-0080E10300056EB7,,
EUI64-0080E1030005DFA9,,
